fecha;canal;sku;descripcion;marca;categoria;cantidad;venta_bruta_clp;costo_total_clp;margen_clp;margen_pct;estado_orden;estado_despacho;fuente;num_pedido;num_suborden
2026-04-01;Falabella;R3329;Cama Elástica + Malla y Escalera 12ft;GlowUp;Juegos de Exterior;1;179990.00;104245;-4115.76;-0.0251;Regular;Sin Información;wivo;3230573055;3230573055
2026-04-01;Falabella;R3329;Cama Elástica + Malla y Escalera 12ft;GlowUp;Juegos de Exterior;1;179990.00;104245;-4115.76;-0.0251;Regular;Sin Información;wivo;3230580378;3230580378
2026-04-01;Falabella;R3332;Cama Elástica + Malla y Escalera 8ft;GlowUp;Juegos de Exterior;1;119990.00;62387;-2551.88;-0.0253;Regular;Sin Información;wivo;3230481648;3230481648
2026-04-01;Falabella;R3332;Cama Elástica + Malla y Escalera 8ft;GlowUp;Juegos de Exterior;1;109990.00;62387;-3917.42;-0.0397;Regular;Sin Información;wivo;3230594752;3230594752
2026-04-01;Falabella;R3332;Cama Elástica + Malla y Escalera 8ft;GlowUp;Juegos de Exterior;1;119990.00;62387;-2551.88;-0.0253;Regular;Entregado;wivo;3230481648;3230481648
2026-04-01;Falabella;R3332;Cama Elástica + Malla y Escalera 8ft;GlowUp;Juegos de Exterior;1;109990.00;62387;-3917.42;-0.0397;Regular;Entregado;wivo;3230594752;3230594752
2026-04-01;Falabella;R3765;Ionizador Solar Piscina;Homeclaf;Piscinas;1;37990.00;20297;-1890.45;-0.0592;Regular;Entregado;wivo;3230494836;3230494836
2026-04-01;Falabella;R3765;Ionizador Solar Piscina;Homeclaf;Piscinas;1;37990.00;20297;-1890.45;-0.0592;Regular;Sin Información;wivo;3230494836;3230494836
2026-04-01;Falabella;R4017;Mochila Hidratación 2L Negra;Miglú;Accesorios Outdoor;1;15990.00;5356;2940.87;0.2189;Regular;Sin Información;wivo;3230475038;3230475038
2026-04-01;Falabella;R4017;Mochila Hidratación 2L Negra;Miglú;Accesorios Outdoor;1;15990.00;5356;2940.87;0.2189;Regular;Sin Información;wivo;3230583763;3230583763
2026-04-01;Falabella;R4017;Mochila Hidratación 2L Negra;Miglú;Accesorios Outdoor;1;15990.00;5356;2940.87;0.2189;Regular;Entregado;wivo;3230475038;3230475038
2026-04-01;Falabella;R4017;Mochila Hidratación 2L Negra;Miglú;Accesorios Outdoor;1;15990.00;5356;2940.87;0.2189;Regular;Entregado;wivo;3230583763;3230583763
2026-04-01;Falabella;R4028;Mopa Vapor 12 en 1;B-Fresh;Limpieza del Hogar;1;42990.00;21609;830.33;0.0230;Regular;Entregado;wivo;3230484066;3230484066
2026-04-01;Falabella;R4028;Mopa Vapor 12 en 1;B-Fresh;Limpieza del Hogar;1;42990.00;21609;830.33;0.0230;Regular;Sin Información;wivo;3230484066;3230484066
2026-04-01;Falabella;R4040;Mopa Giratoria 360 + 2 Repuestos;B-Fresh;Limpieza del Hogar;1;15990.00;7889;-1197.48;-0.0891;Regular;Sin Información;wivo;3230469857;3230469857
2026-04-01;Falabella;R4040;Mopa Giratoria 360 + 2 Repuestos;B-Fresh;Limpieza del Hogar;1;15990.00;7889;-1197.48;-0.0891;Regular;Entregado;wivo;3230469857;3230469857
2026-04-01;Falabella;R5616;Dispensador Alimento Mascotas con Parlante;PetWoow;Alimentación;1;27990.00;22877;-5316.67;-0.1688;Regular;Entregado;wivo;3230461092;3230461092
2026-04-01;Falabella;R5616;Dispensador Alimento Mascotas con Parlante;PetWoow;Alimentación;1;27990.00;22877;-5316.67;-0.1688;Regular;Sin Información;wivo;3230461092;3230461092
2026-04-01;Falabella;R5628;100 Micas Láminas Termolamina A4;Rebajas;Papelería y Oficina;1;6990.00;2793;562.30;0.0957;Regular;Sin Información;wivo;3230570180;3230570180
2026-04-01;Falabella;R5628;100 Micas Láminas Termolamina A4;Rebajas;Papelería y Oficina;1;6990.00;2793;562.30;0.0957;Regular;Entregado;wivo;3230570180;3230570180
2026-04-01;Falabella;R5761;Cortina Blackout Gris 180x230cm;Vincenzi;Cortinas y Persianas;1;24990.00;9511;1861.94;0.0836;Regular;Entregado;wivo;3230513191;3230513191
2026-04-01;Falabella;R5761;Cortina Blackout Gris 180x230cm;Vincenzi;Cortinas y Persianas;1;24990.00;9511;1861.94;0.0836;Regular;Sin Información;wivo;3230513191;3230513191
2026-04-01;Falabella;R5765;Cortina Blackout Gris 220x230cm;Vincenzi;Cortinas y Persianas;5;149950.00;54829;10312.74;0.0818;Regular;Sin Información;wivo;3230515138;3230515138
2026-04-01;Falabella;R5765;Cortina Blackout Gris 220x230cm;Vincenzi;Cortinas y Persianas;5;149950.00;54829;10312.74;0.0818;Regular;Entregado;wivo;3230515138;3230515138
2026-04-01;Falabella;R5910;Bodega Jardín 195x195x125cm Negra;Homeclaf;Bodegas de jardín y organizadores;1;179990.00;98868;-1965.66;-0.0120;Regular;Entregado;wivo;3230578489;3230578489
2026-04-01;Falabella;R5910;Bodega Jardín 195x195x125cm Negra;Homeclaf;Bodegas de jardín y organizadores;1;179990.00;98868;2227.62;0.0136;Regular;Entregado;wivo;3230499573;3230499573
2026-04-01;Falabella;R5910;Bodega Jardín 195x195x125cm Negra;Homeclaf;Bodegas de jardín y organizadores;1;179990.00;98868;-1965.66;-0.0120;Regular;Sin Información;wivo;3230578489;3230578489
2026-04-01;Falabella;R5910;Bodega Jardín 195x195x125cm Negra;Homeclaf;Bodegas de jardín y organizadores;1;179990.00;98868;2227.62;0.0136;Regular;Sin Información;wivo;3230499573;3230499573
2026-04-01;Falabella;R5912;Bodega Jardín 195x195x125cm Gris;Homeclaf;Bodegas de jardín y organizadores;1;179990.00;96067;163.13;0.0010;Regular;Sin Información;wivo;3230513007;3230513007
2026-04-01;Falabella;R5912;Bodega Jardín 195x195x125cm Gris;Homeclaf;Bodegas de jardín y organizadores;1;179990.00;96067;163.13;0.0010;Regular;Entregado;wivo;3230513007;3230513007
2026-04-01;Falabella;R5913;Bodega Jardín 181x162x86cm Negra;Homeclaf;Bodegas de jardín y organizadores;1;119990.00;63816;514.92;0.0048;Regular;Entregado;wivo;3230529407;3230529407
2026-04-01;Falabella;R5913;Bodega Jardín 181x162x86cm Negra;Homeclaf;Bodegas de jardín y organizadores;1;119990.00;63816;514.92;0.0048;Regular;Sin Información;wivo;3230529407;3230529407
2026-04-01;Falabella;R5943;Cama Elástica + Malla 4.5ft;GlowUp;Juegos de Exterior;1;49990.00;30716;-1223.90;-0.0248;Regular;Sin Información;wivo;3230543337;3230543337
2026-04-01;Falabella;R5943;Cama Elástica + Malla 4.5ft;GlowUp;Juegos de Exterior;1;49990.00;30716;-1223.90;-0.0248;Regular;Sin Información;wivo;3230443480;3230443480
2026-04-01;Falabella;R5943;Cama Elástica + Malla 4.5ft;GlowUp;Juegos de Exterior;1;49990.00;30716;-1223.90;-0.0248;Regular;Sin Información;wivo;3230467115;3230467115
2026-04-01;Falabella;R5943;Cama Elástica + Malla 4.5ft;GlowUp;Juegos de Exterior;1;49990.00;30716;-1223.90;-0.0248;Regular;Entregado;wivo;3230543337;3230543337
2026-04-01;Falabella;R5943;Cama Elástica + Malla 4.5ft;GlowUp;Juegos de Exterior;1;49990.00;30716;-1223.90;-0.0248;Regular;Entregado;wivo;3230467115;3230467115
2026-04-01;Falabella;R5943;Cama Elástica + Malla 4.5ft;GlowUp;Juegos de Exterior;1;49990.00;30716;-1223.90;-0.0248;Regular;Entregado;wivo;3230443480;3230443480
2026-04-01;Falabella;R5954;Anillas Olímpicas Suspensión;K-Fit;Fitness y Entrenamiento;1;19990.00;9350;827.15;0.0443;Regular;Entregado;wivo;3230444997;3230444997
2026-04-01;Falabella;R5954;Anillas Olímpicas Suspensión;K-Fit;Fitness y Entrenamiento;1;19990.00;9350;827.15;0.0443;Regular;Sin Información;wivo;3230444997;3230444997
2026-04-01;Falabella;R5980;Dispensador Agua Mascotas 2L Azul;PetWoow;Alimentación;1;16990.00;8574;509.03;0.0341;Regular;Sin Información;wivo;3230531446;3230531446
2026-04-01;Falabella;R5980;Dispensador Agua Mascotas 2L Azul;PetWoow;Alimentación;1;16990.00;8574;509.03;0.0341;Regular;Entregado;wivo;3230531446;3230531446
2026-04-01;Falabella;R6003;Set Mancuernas 25 KG;K-Fit;Fitness y Entrenamiento;1;19980.00;10679;-5051.61;-0.3009;Regular;Entregado;wivo;3230537716;3230537716
2026-04-01;Falabella;R6003;Set Mancuernas 25 KG;K-Fit;Fitness y Entrenamiento;1;19980.00;10679;-5051.61;-0.3009;Regular;Sin Información;wivo;3230537716;3230537716
